Folio,Topic Heading,Source (original),Text (original),Source (standardized),Text (standardized),Citation,STC number,Notes
7-3v,feare Shame,Ecc. 1. 8,"There is one wyse and to bee feared 
the Lord siting vpon his Throne",Ecclesiasticus 1.8,"There is one wise and greatly to be feared, the Lord sitting upon his throne.",,,
7-3v,feare Shame,pro. 19. 23,"The feare of the lord leadeth to Life 
and hee that hath is shall abide 
Satisfied, hee shall not vissited 
with Evill",Proverbs 19.23,The fear of the LORD tendeth to life: and he that hath it shall abide satisfied; he shall not be visited with evil.,,,
7-3v,feare Shame,Ecc. 2. 9,"You that feare the lord hope for 
Good & for everlasting Joy & mercy",Ecclesiasticus 2.9,"Ye that fear the Lord, hope for good, and for everlasting joy and mercy.",,,
7-3v,feare Shame,Ecc. 18. 17,"A wyse man will feare in euery 
thing, and in the day of Syning 
hee will beware of offence, But 
A foole will [scribbled-out word] not obserue tyme",Ecclesiasticus 18. 27,"A wise man will fear in every thing, and in the day of sinning he will beware of offence: but a fool will not observe time.",,,Misattribution of verse
7-3v,feare Shame,pro. 28. 14,"Happi is the man that feareth all 
wayes, but hee that hardeneth his 
heart shall fall into Mischeife",Proverbs 28.14,Happy is the man that feareth alway: but he that hardeneth his heart shall fall into mischief.,,,
7-4r,feare Shame,Ecc. 1. 2,"The feare of the lord driueth 
away Syns, & where it is present 
it turneth away wrath",Ecclesiasticus 1.21,"The fear of the Lord driveth away sins: and where it is present, it turneth away wrath.",,,Misattributed verse
7-4r,feare Shame,Ecc. 2. 8,"You that feare the lord beleiue him 
and your Reward shall not faill",Ecclesiasticus 2.8,"Ye that fear the Lord, believe him; and your reward shall not fail.",,,
7-4r,feare Shame,Mathew. 12. 4. 5,"I Say vnto you my friends bee 
not affraid of them that kill ye body 
and after that are able to doe noe 
more: But I will forwarne you 
whome you shall feare, feare him 
wch after hee hath killed hath 
powre to Cast into hell - yea I 
say vnto you feare him",Luke 12.4-5,"4 And I say unto you my friends, Be not afraid of them that kill the body, and after that have no more that they can do. 5 But I will forewarn you whom ye shall fear: Fear him, which after he hath killed hath power to cast into hell; yea, I say unto you, Fear him.",,,Misattributed book
7-4r,feare Shame,Wisdom. 17. 12,"feare is nothng Else but a Be=
traying of the Suckors wch Reason
offereth",Wisdom of Solomon 17.12,For fear is nothing else but a betraying of the succours which reason offereth.,,,
7-4v,feare Shame,Ecc. 41. 16,"Therfore bee Ashamed according to 
my words for it is not Good to 
Retaine all Shamfastnes, neither 
is it altogether appointed in every thing
Verse the 17
Be ashamed of whordom before father 
and Mother, and of a ly before a princ 
and mighty man, of an offenc before
 a Judg & a Ruler: of Inequity before
 a Congregation. of vniust dealing
 before thy parents and friends 
And of Theft in Regard of the 
place where thou Soiornest, and
his Couenant, And to leane wth  
thyne Elboues vpon the Meate:                         And of Scorning to giue & take: 
And of Sylenc before them that 
Sallut thee: And to Looke vpon 
A Harlot: and to turne away thy 
face from thy kinsman, or to take 
away a portion or a Guift: or to 
Gaze vpon an other mans wife
",Ecclesiasticus 41.16-21,"16 Therefore be shamefaced according to my word: for it is not good to retain all shamefacedness; neither is it altogether approved in every thing. 17 Be ashamed of whoredom before father and mother: and of a lie before a prince and a mighty man; 18 Of an offence before a judge and ruler; of iniquity before a congregation and people; of unjust dealing before thy partner and friend; 19 And of theft in regard of the place where thou sojournest, and in regard of the truth of God and his covenant; and to lean with thine elbow upon the meat; and of scorning to give and take; 20 And of silence before them that salute thee; and to look upon an harlot; 21 And to turn away thy face from thy kinsman; or to take away a portion or a gift; or to gaze upon another man's wife.",,,No attribution for verses 18-21
7-5r,Shame,,"Or to bee ouer busi wth  his made 
and Com not neere her bed: 
And of vpbraiding speches Be=
fore friends. and after thou 
hast giuen vpbraid not:
Or of Itterating and speaking 
again that which thou hast heard 
And of Reuealing of Secrets: 
So shalt thou be truly Shamfasst 
and find fauour before all Men",Ecclesiasticus 41.21-24,"22 Or to be overbusy with his maid, and come not near her bed; or of upbraiding speeches before friends; and after thou hast given, upbraid not; 23 Or of iterating and speaking again that which thou hast heard; and of revealing of secrets. 24 So shalt thou be truly shamefaced and find favour before all men.",,,Continuation of verses on the page before; no verses are attributed
7-6r,Error Suspition Passion,Ecc. 11.16,"Error and Darknes had theire 
begining together with Syn, & 
Evill shall wax old with them that 
Glory therein",Ecclesiasticus 11.16,Error and darkness had their beginning together with sinners: and evil shall wax old with them that glory therein.,,,
7-6r,Error Suspition Passion,Ecc. 3. 24,"Many are deceiued by their owne 
vaine opinion, and an Evill 
Suspition hath ouerthrowne their 
Judgments",Ecclesiasticus 3.24,For many are deceived by their own vain opinion; and an evil suspicion hath overthrown their judgment.,,,
7-7r,Pryd Boasting,pro. 16. 18,"Pryd Goeth before Distruction 
And a haughty Spirit before ye fall",Proverbs 16.18,"Pride goeth before destruction, and an haughty spirit before a fall.",,,
7-7r,Pryd Boasting,Ecc. 3. 28,"In the punishment of the proud
there is no Remidy, for the plant 
of wickednes hath taken Roote 
in him",Ecclesiasticus 3.28,In the punishment of the proud there is no remedy; for the plant of wickedness hath taken root in him.,,,
7-7r,Pryd Boasting,pro. 11. 2,"When pryd Cometh then Cometh sham 
but with the lowly is wisdom",Proverbs 11.2,"When pride cometh, then cometh shame: but with the lowly is wisdom.",,,
7-7r,Pryd Boasting,Ecc. 1. 30,"Exalt not thy selfe least thou fall 
and bring dishonour vpon thy Soule 
and so God discouer thy Secrets 
and Cast thee downe in ye midest 
of the Congregation",Ecclesiasticus 1.30,"Exalt not thyself, lest thou fall, and bring dishonour upon thy soul, and so God discover thy secrets, and cast thee down in the midst of the congregation, because thou camest not in truth to the fear of the Lord, but thy heart is full of deceit.",,,
7-7r,Pryd Boasting,Luke. 18. 14,"Every one that exalteth himselfe 
shall be abassed, but he yt humbleth 
himselfe shall be Exallted",Luke 18.14,"I tell you, this man went down to his house justified rather than the other: for every one that exalteth himself shall be abased; and he that humbleth himself shall be exalted.",,,
7-7v,Pryd Boasting,Ecc. 21. 4,"To terifie and doe wrong waste 
Riches thus the house of Proud 
men shall bee made Desolate",Ecclesiasticus 21.4,To terrify and do wrong will waste riches: thus the house of proud men shall be made desolate.,,,
7-7v,Pryd Boasting,pro. 29. 23,"The pryd of a man shall bring him 
Lowe, But the humble in Spirit 
shall Inioy Glory",Proverbs 29.33,A man's pride shall bring him low: but honour shall uphold the humble in spirit.,,,
7-7v,Pryd Boasting,Ecc. 10. 14,"The Lord hath Cast downe the throne 
of proud Princes and Set vp the 
Meeke in their Stead",Ecclesiasticus 10.14,"The Lord hath cast down the thrones of proud princes, and set up the meek in their stead.",,,
7-7v,Pryd Boasting,pro. 16. 5,"Every one that is proud in heart 
is abomination to the lord, 
though hand Joyne in hand, hee 
shall not bee vnpunished",Proverbs 16.5,"Every one that is proud in heart is an abomination to the LORD: though hand join in hand, he shall not be unpunished.",,,
7-7v,Pryd Boasting,pro. 25. 14,"Who so boasteth himselfe of a false 
Guift is like Cloudes of wynde 
without Rayne",Proverbs 25.14, Whoso boasteth himself of a false gift is like clouds and wind without rain.,,,
7-8r,Pryd Boasting,Ecc. 13. 1,"Hee that toucheth pitch shall bee 
defiled therewith, and hee that 
hath fellowship with a proud 
man shall bee like him",Ecclesiasticus 13.1,He that toucheth pitch shall be defiled therewith; and he that hath fellowship with a proud man shall be like unto him.,,,
7-8r,Pryd Boasting,Ecc. 7. 5,"Justifi not thy selfe befor ye Lord, & 
boast not thy selfe before the King ",Ecclesiasticus 7.5,Justify not thyself before the Lord; and boast not of thy wisdom before the king.,,,
7-8r,Pryd Boasting,pro. 27. 2,"Let an other man prayes thee and not 
thyne owne mouth, a Stranger, & 
not thyne owne Lipes",Proverbs 27.2,"Let another man praise thee, and not thine own mouth; a stranger, and not thine own lips.",,,
7-8r,Pryd Boasting,pro. 27. 1,"Boast not thy selfe of to morrow for 
thou knowst not what a day may bring 
forth",Proverbs 27.1,Boast not thyself of to morrow; for thou knowest not what a day may bring forth.,,,Switched the order of the verses
7-8r,Pryd Boasting,pro. 2 [scribble] 9,"Hee that is dispised & hath a Seruant 
is better then hee that Boasteth 
himselfe and Lacketh Bread",Proverbs 12.9,"He that is despised, and hath a servant, is better than he that honoureth himself, and lacketh bread.",,,
8-1r,Couetiousnes,Luke. 12. 15,"Take heed and beware of Couetiousnes 
for a mans life Consisteth not in the 
Aboundanc of the things which hee 
posseseth",Luke 12.15,"And he said unto them, Take heed, and beware of covetousness: for a man's life consisteth not in the abundance of the things which he possesseth.",,,Omitted first part
8-1r,Couetiousnes,Ecc. 10. 9,"There is not a more wicked thing 
then a Couetious Man, for such a 
one seteth his Soule to Sale, becaus 
whilst hee liueth hee Casteth away 
his bowels",Ecclesiasticus 10.9,Why is earth and ashes proud? There is not a more wicked thing than a covetous man: for such an one setteth his own soul to sale; because while he liveth he casteth away his bowels.,,,Omitted beginning question
8-1r,Couetiousnes,pro. 28. 16,"Hee that hateth Couetiousnes shall 
prolong his Dayes",Proverbs 28.16,The prince that wanteth understanding is also a great oppressor: but he that hateth covetousness shall prolong his days.,,,Omitted first clause
8-1r,Couetiousnes,first Timothy. 6. 10,"for the loue of Mony is the Roote of 
all Evill, which whilst some Coueted 
after they haue Erred from ye faith 
And perced themselues through 
with many Sorrowes",1 Timothy 6.10,"For the love of money is the root of all evil: which while some coveted after, they have erred from the faith, and pierced themselves through with many sorrows.",,,
8-1v,Couetiousnes,Hebrues. 13. 5,"Let your Conuersation bee without 
Couetiousnes and be Content wth 
such things as you haue, for hee 
hath sayd, I will neuer leave thee 
Nor forsake thee ",Hebrews 13.5,"Let your conversation be without covetousness; and be content with such things as ye have: for he hath said, I will never leave thee, nor forsake thee.",,,
8-1v,Couetiousnes,Ecc. 4. 31,"Let not thy hand be Streched out to 
Receiue. & Shut when thou shouldst Giue",Ecclesiasticus 4.31,"Let not thine hand be stretched out to receive, and shut when thou shouldest repay.",,,
8-1v,Couetiousnes,pro. 15. 27,"Hee that is Greedy of Gayne troubleth
his owne house, But he that hateth 
Guifts shall liue
",Proverbs 15.27,He that is greedy of gain troubleth his own house; but he that hateth gifts shall live.,,,
8-1v,Couetiousnes,Esia.,"Woe vnto them than Joyne howse to 
howse and lay feild to feild, till
 there bee noe place, that they may 
be placed alone in ye midest of ye Earth",Isaiah 5.8,"Woe unto them that join house to house, that lay field to field, till there be no place, that they may be placed alone in the midst of the earth!",,,No attribution of chapter or verse
8-1v,Couetiousnes,Ecc. 20. 12,"There is that byeth much for a Little 
And in the end Repayes it Seven 
folde",Ecclesiasticus 20.12,"There is that buyeth much for a little, and repayeth it sevenfold.",,,
8-2v,Wrath Anger,Spalme 37. 8,"Leaue of from wrath, let goe displeasur 
Fret not thy Selfe, else shalt thou 
be moued to doe euill",Psalms 37.8,"Cease from anger, and forsake wrath: fret not thyself in any wise to do evil.",,,
8-2v,Wrath Anger,Eclesiastes. 7. 9,"Be not of a hasty Spirit to be Angry 
for Anger Rests in ye bosome of fooles",Ecclesiastes 7.9,Be not hasty in thy spirit to be angry: for anger resteth in the bosom of fools.,,,
8-2v,Wrath Anger,Mathew. 5. 22,"I Say vnto you whosoeuer is Angry 
with his Brother vnaduisedly, shall 
bee Culpable of Judgment",Matthew 5.22 (Geneva Bible),"Omitted final clauses; But I say unto you, whosoever is angry with his brother unadvisedly, shall be culpable of judgment. And whosoever saith unto his brother, Raca, shall be worthy to be punished by the Council. And whosoever shall say, Fool, shall be worthy to be punished with hell fire",,,"Omitted final clauses; KJV version: But I say unto you, That whosoever is angry with his brother without a cause shall be in danger of the judgment: and whosoever shall say to his brother, Raca, shall be in danger of the council: but whosoever shall say, Thou fool, shall be in danger of hell fire"
8-2v,Wrath Anger,pro. 12. 16,"A fooles wrath is presently Known 
but A prudent man Couereth sham
",Proverbs 12.16,A fool's wrath is presently known: but a prudent man covereth shame.,,,
8-2v,Wrath Anger,Pro. 19. 19,"A Man of great wrath shall Suffer 
punishment, and though thou 
deliuer him, yet will his anger 
Com againe",Proverbs 19.19,"A man of great wrath shall suffer punishment: for if thou deliver him, yet thou must do it again.",,,
8-3r,Wrath Anger,pro. 14. 22,"Hee that is Slow to wrath is of Great 
vnderstanding: but he that is hasty 
of Spirit Exalteth folly",Proverbs 14.29,He that is slow to wrath is of great understanding: but he that is hasty of spirit exalteth folly.,,,Misattributed verse
